"V1","V2"
"102579","257994"
"17346","93548"
"107251","250774"
"65515","336128"
"170291","316264"
"86496","44214"
"53956","132295"
"104114","104116"
"129959","377546"
"203804","229454"
"5716","30286"
"390009","390010"
"227873","348937"
"128208","322668"
"25687","329807"
"62619","197872"
"203791","357568"
"24244","125534"
"90","367047"
"247705","295659"
"397987","398065"
"6688","269122"
"143427","80320"
"183231","191034"
"70656","141044"
"37154","168074"
"315410","315411"
"167861","192106"
"289158","238138"
"215356","347739"
"200297","400417"
"337012","326990"
"375260","376856"
"393512","57074"
"1113","370727"
"263996","350514"
"180790","284272"
"265574","339777"
"37529","321910"
"180506","180511"
"32921","249747"
"126285","129650"
"120872","120876"
"6455","243516"
"54929","255346"
"5444","238118"
"2073","163666"
"246145","284576"
"65122","66465"
"116690","170841"
"160008","264967"
"156484","42977"
"95309","212138"
"210249","232795"
"151559","311376"
"268466","274007"
"12997","312254"
"166551","172726"
"57159","106813"
"6170","321887"
"41433","83808"
"29829","68880"
"148406","381369"
"251408","278617"
"52685","10271"
"119490","369485"
"24299","114990"
"53560","53561"
"1696","62168"
"34011","342745"
"104410","40738"
"26668","39807"
"231868","242215"
"261977","265214"
"270607","282321"
"136150","259264"
"180413","255097"
"113633","328595"
"299857","299858"
"230606","218058"
"50695","67212"
"55884","203632"
"152440","121476"
"37052","167837"
"4198","45352"
"399917","400067"
"61342","84937"
"255546","320257"
"96068","187952"
"108768","226952"
"28888","359376"
"85688","242171"
"103829","139089"
"235139","291289"
"170604","297500"
"20248","101724"
"158945","379866"
"113650","140980"
"171731","221717"
"273073","288983"
"6808","325212"
"271675","290968"
"167746","88680"
"185","228681"
"37883","262386"
"261397","344184"
"203632","229480"
"33384","292232"
"45653","107951"
"106181","350514"
"89439","142653"
"63115","251484"
"133269","326014"
"181580","84937"
"26899","390261"
"2461","143505"
"102213","276719"
"21988","149579"
"68443","68445"
"293584","293591"
"192061","263992"
"5444","11522"
"278540","278541"
"248692","278737"
"35991","379788"
"159705","36136"
"198788","67144"
"142079","165729"
"190208","251416"
"904","54531"
"7626","253799"
"123255","148740"
"56580","77167"
"860","54908"
"80815","208159"
"86514","332739"
"215703","249374"
"25310","68725"
"316167","361346"
"22105","22106"
"176485","239468"
"214722","214726"
"90602","157125"
"72981","185773"
"94291","198881"
"23717","371508"
"6709","290875"
"169911","355096"
"102824","198671"
"120238","229841"
"161193","200186"
"125497","128647"
"309544","341971"
"101663","375299"
"104469","353522"
"62889","171837"
"72786","273066"
"229811","274953"
"7754","20716"
"137946","279129"
"28715","351782"
"194850","211053"
"107251","262752"
"12222","224601"
"173768","267169"
"50812","123520"
"123287","175224"
"294246","344438"
"49949","56390"
"252854","282962"
"158370","263510"
"5092","8094"
"109385","154692"
"10177","341569"
"53956","323906"
"206450","225089"
"66017","268354"
"201993","284272"
"273656","289443"
"40320","298247"
"24456","64792"
"93009","186013"
"204844","257513"
"42208","155595"
"69787","144069"
"80527","89953"
"377922","394330"
"75468","75470"
"58088","67295"
"22627","75600"
"73569","170553"
"265498","333429"
"13437","33752"
"54153","61264"
"72560","30617"
"56400","85563"
"241900","241902"
"215009","216336"
"331227","352261"
"284569","316646"
"152439","207221"
"60354","55884"
"5895","360040"
"132783","390261"
"134981","139315"
"174765","293386"
"318821","321965"
"27322","27323"
"169353","16018"
"101756","68959"
"40031","66589"
"262639","296212"
"99981","230405"
"242619","248491"
"31164","244297"
"131125","131126"
"111097","177239"
"5204","18988"
"34577","281853"
"40083","185"
"26452","27631"
"85429","184458"
"86890","142571"
"42176","103927"
"50767","166838"
"81909","221531"
"72587","369482"
"77453","228914"
"73978","149045"
"102585","241349"
"196341","286948"
"98535","373680"
"78552","232097"
"199046","86425"
"101521","333076"
"116690","133217"
"5204","114186"
"4249","192853"
"83121","56440"
"53493","309145"
"376852","63756"
"177760","377918"
"227650","297667"
"120876","173814"
"15843","345142"
"197721","231100"
"396422","396427"
"313078","353013"
"192387","348653"
"69278","93721"
"98246","170140"
"208785","252854"
"27502","41468"
"91945","311546"
"61378","95764"
"68880","155375"
"90072","140329"
"119452","186768"
"86260","311906"
"159797","168235"
"81019","222182"
"18658","18662"
"64446","183560"
"375391","393313"
"220162","169284"
"789","205671"
"200786","224587"
"34580","86425"
"26220","192220"
"244227","387754"
"122348","146202"
"1602","18353"
"5378","66360"
"100414","299916"
"55408","119244"
"186610","321764"
"192672","286729"
"396393","397001"
"24846","161687"
"139646","401953"
"127600","301924"
"123255","265471"
"214029","235132"
"11056","162676"
"27322","231440"
"159797","240637"
"275030","121645"
"35460","247705"
"35634","352144"
"2552","304351"
"29076","295841"
"15843","40787"
"286583","323020"
"81836","309399"
"51868","337012"
"31947","113998"
"12151","115238"
"633","863"
"249863","312433"
"9537","286922"
"126380","370482"
"58962","333010"
"269122","177259"
"91944","160532"
"90","100853"
"8006","171641"
"29550","81576"
"5204","203632"
"192387","118835"
"159642","183991"
"383118","385871"
"192406","284834"
"19706","180238"
"25455","169105"
"136244","303856"
"198771","264418"
"218956","269947"
"32526","58750"
"258603","370727"
"74765","357197"
"20338","87718"
"321076","348957"
"143876","378799"
"228680","228681"
"221122","293371"
"10687","307912"
"198299","283172"
"362789","321135"
"16496","40254"
"579","127410"
"199907","137513"
"376107","265471"
"94289","36136"
"125975","189656"
"109321","299858"
"72822","146357"
"49988","182952"
"91077","184331"
"20560","392670"
"47012","243514"
"65226","20084"
"230748","264952"
"28296","196038"
"159642","349482"
"118609","131196"
"1316","199046"
"239209","279714"
"38189","110784"
"64922","196962"
"352074","106813"
"45600","156852"
"131125","400427"
"64469","105548"
"45051","167017"
"313211","392589"
"40320","111508"
"8701","118378"
"55387","116121"
"17701","46638"
"9242","390750"
"75477","155629"
"46253","373691"
"6580","72366"
"278629","288191"
"87418","173049"
"283462","293954"
"243645","329445"
"20189","63756"
"3320","72115"
"121078","267765"
"200477","321240"
"162255","186707"
"162676","173049"
"159878","361955"
"36847","83503"
"132114","133358"
"22322","96366"
"15252","110214"
"84336","150623"
"257908","263054"
"168865","221426"
"50695","288605"
"273081","302649"
"301780","238738"
"114570","400446"
"123255","60760"
"4120","66693"
"242055","373756"
"29643","326170"
"334632","390261"
"363638","54786"
"41775","375299"
"228681","293218"
"60559","157746"
"2384","9893"
"3163","357270"
"29074","40577"
"127919","139702"
"29524","289865"
"44597","162598"
"98690","175496"
"80552","351379"
"80552","340985"
"284782","326297"
"118487","214444"
"4739","8715"
"35110","176814"
"252937","369484"
"18675","323033"
"232931","328091"
"141728","159760"
"26241","228825"
"165348","166686"
"402470","392589"
"110342","142207"
"96373","101401"
"159753","272937"
"240567","209211"
"170841","291227"
"146295","152869"
"35634","78123"
"72612","137654"
"218826","293324"
"158577","224172"
"40785","295365"
"88044","126367"
"75480","235553"
"149039","154692"
"167137","281853"
"155245","212142"
"265574","394137"
"167746","292812"
"396422","398616"
"159559","179969"
"101961","179373"
"6170","146295"
"2606","97307"
"331227","129452"
"131579","328344"
"89800","124060"
"68056","196166"
"156730","300704"
"12194","325352"
"195210","399271"
"58740","59870"
"8590","212384"
"229811","263372"
"35328","50637"
"244227","264635"
"131196","187747"
"348973","393313"
"59378","83177"
"213256","51619"
"191809","337938"
"129084","170857"
"34912","192372"
"189669","216424"
"169808","274915"
"225991","298917"
"24567","365080"
"144662","144664"
"189507","209211"
"113037","226471"
"48520","320876"
"65218","143628"
"68174","354950"
"149415","384387"
"49988","395398"
"20438","22322"
"333757","351001"
"29455","32768"
"34967","37890"
"391528","391530"
"402499","58743"
"151242","181224"
"156206","114809"
"49177","164666"
"37052","8196"
"274025","284133"
"54325","102941"
"90559","53388"
"114911","309145"
"104887","330126"
"28715","265715"
"85771","299682"
"123287","326650"
"104341","107251"
"147748","321013"
"259864","259867"
"47357","52818"
"17968","34011"
"35029","245137"
"80776","80778"
"119490","384990"
"52400","68883"
"272559","358518"
"296268","362136"
"144083","294460"
"74130","230013"
"2555","14906"
"40488","293954"
"294112","208555"
"71431","1552"
"192401","319096"
"102774","388023"
"290806","360193"
"145553","252743"
"374203","387869"
"158895","215859"
"64665","136943"
"904","18394"
"233037","236261"
"298466","308677"
"393726","244297"
"74130","158010"
"74130","70460"
"280683","323312"
"68443","196337"
"85518","154747"
"28715","118307"
"6244","113533"
"217001","220729"
"149981","221403"
"54531","205250"
"361872","253539"
"60950","134943"
"385523","390001"
"27801","158327"
"14890","52321"
"35634","321076"
"11710","137513"
"16846","113434"
"220342","228279"
"9771","17326"
"101502","103543"
"271036","288983"
"64446","328595"
"43751","147122"
"52845","236391"
"323660","328688"
"395398","169466"
"132114","150003"
"19260","33889"
"66027","109005"
"67140","67144"
"633","7634"
"35285","49621"
"155607","192340"
"128790","206256"
"46315","69373"
"76742","283490"
"341144","341148"
"106411","243982"
"98246","401847"
"185315","370923"
"83142","179466"
"37885","107861"
"29074","29076"
"9344","179373"
"6688","12024"
"114911","205642"
"150003","132295"
"338123","123279"
"16126","53926"
"158370","352846"
"88171","196037"
"156468","242133"
"79097","223586"
"63848","231235"
"137946","248257"
"27801","187877"
"145831","393078"
"115659","215557"
"70324","290568"
"66660","162974"
"1590","84589"
"71439","71951"
"394771","394772"
"148901","206450"
"24299","36172"
"37436","182430"
"126263","380110"
"260243","378495"
"65021","124142"
"382724","292217"
"74902","112261"
"150562","227232"
"51187","301600"
"21862","147846"
"62726","79221"
"219318","227873"
"32755","48973"
"22990","54168"
"36229","345157"
"131992","182488"
"57207","340904"
"374673","198527"
"349711","370893"
"37052","111851"
"199500","341771"
"40590","247827"
"120342","210005"
"161436","216868"
"158753","159322"
"37450","95480"
"292217","389958"
"145707","358591"
"366775","366876"
"187264","327483"
"214030","274915"
"160904","270494"
"154265","322758"
"276303","276308"
"1042","388404"
"82967","189959"
"25335","261923"
"81826","38151"
"71960","85688"
"13287","13876"
"7626","315995"
"170871","239370"
"12163","252570"
"16259","46624"
"3308","135361"
"113832","314013"
"102585","144067"
"94470","97276"
"186306","209134"
"79613","257816"
"233393","370505"
"348976","90022"
"50071","273826"
"37045","372589"
"140494","140497"
"407","70797"
"60937","400796"
"399965","400208"
"197035","226397"
"123025","167746"
"229045","229047"
"172181","172185"
"13437","13438"
"25840","40488"
"6580","31784"
"116101","123268"
"60916","128929"
"58090","67295"
"331969","105780"
"11194","38189"
"13773","25211"
"63717","114990"
"162977","332188"
"100414","278135"
"56818","124792"
"40083","378938"
"91944","382331"
"248401","170911"
"63501","239341"
"30948","246185"
"145503","314682"
"5444","135942"
"9344","113344"
"96998","40916"
"230796","289360"
"208143","220138"
"61672","302021"
"339445","364596"
"37637","73881"
"9535","350767"
"152440","229454"
"93567","101993"
"64687","208450"
"166867","224454"
"99414","261180"
"322729","355792"
"144070","105403"
"64370","401710"
"374898","374904"
"177879","286583"
"97383","70656"
"57207","77482"
"402470","378799"
"239370","222402"
"90302","93050"
"64541","130845"
"25901","25904"
"32209","9210"
"88044","107037"
"75284","101285"
"68873","397202"
"24842","84182"
"353546","3858"
"101663","238834"
"236190","226496"
"154963","66360"
"211095","234168"
"378989","18988"
"113533","118578"
"110037","147846"
"106057","268418"
"164223","249253"
"255546","270134"
"241373","227412"
"33026","149558"
"37770","140633"
"171117","225991"
"78355","153533"
"231230","220776"
"1733","2461"
"180586","378149"
"10177","188421"
"231230","274926"
"329295","329296"
"38860","75627"
"20763","33952"
"78908","174741"
"86260","182599"
"340103","369651"
"218293","245159"
"4047","200295"
"56440","281078"
"136793","251484"
"268466","195087"
"278080","392965"
"148724","298130"
"344466","353937"
"390894","251852"
"13416","238834"
"5238","98955"
"222379","273656"
"2283","396870"
"244250","154989"
"259864","208159"
"267765","232795"
"150787","218311"
"224825","393313"
"52705","97383"
"115566","255106"
"9537","11249"
"40577","264255"
"159002","327420"
"147342","192852"
"10760","67640"
"58896","213697"
"315417","348087"
"152503","152505"
"28715","269087"
"33948","41877"
"142421","386545"
"151024","216424"
"71225","194658"
"102585","310116"
"30521","381529"
"181580","197637"
"48242","255155"
"2423","180586"
"49611","121013"
"51563","215557"
"59280","126847"
"234958","131827"
"26644","14088"
"85475","257727"
"145988","174455"
"51619","228199"
"355742","5355"
"200154","340985"
"181690","214656"
"116271","261381"
"67485","282777"
"386301","398868"
"213870","248491"
"344833","372854"
"313078","316861"
"60245","85128"
"152503","155256"
"64504","123758"
"111632","131196"
"219695","307907"
"172128","333131"
"63488","58915"
"116732","258364"
"222451","377922"
"257233","375073"
"6261","227230"
"59742","130544"
"38731","228857"
"268516","397001"
"201653","284600"
"13986","99957"
"159454","271395"
"106379","229480"
"48242","166940"
"348454","142137"
"365837","391539"
"173931","269250"
"95258","187425"
"32936","236737"
"363156","374826"
"184683","325418"
"53277","203546"
"150058","397575"
"64370","127103"
"159901","214364"
"21941","172120"
"86496","214048"
"904","4014"
"85730","234802"
"9893","285130"
"8216","105131"
"5378","381066"
"191027","216046"
"162041","236190"
"204657","221105"
"268831","337377"
"14899","110214"
"49177","20716"
"106917","166940"
"354969","380669"
"208703","79613"
"66589","77039"
"271260","244841"
"89358","150564"
"33172","93056"
"70194","301716"
"265069","276451"
"75275","310040"
"211179","224997"
"116732","359240"
"225997","148107"
"338873","349549"
"116279","360531"
"131209","292196"
"4558","341482"
"62683","178459"
"61533","4264"
"58628","393175"
"145519","144067"
"75700","138401"
"83394","205346"
"105526","257803"
"299990","312523"
"148667","283599"
"13518","263054"
"293469","307596"
"2930","293954"
"287313","321058"
"277834","338873"
"320344","335453"
"107610","107980"
"13413","18769"
"180628","251042"
"37837","111072"
"670","258603"
"1139","39115"
"110527","243929"
"398950","399833"
"102023","311546"
"43608","109321"
"150958","326526"
"189669","376108"
"407","1590"
"105516","105519"
"323736","324046"
"59584","300531"
"73538","73540"
"110845","249339"
"12585","300850"
"151565","160747"
"82913","237928"
"45051","62889"
"131664","233120"
"94167","154969"
"381517","386327"
"61194","115150"
"135898","372589"
"87073","3337"
"3391","107509"
"115013","158515"
"1042","25982"
"75207","377190"
"141047","376856"
"658","98501"
"239213","279714"
"100853","100855"
"318944","266877"
"299002","175541"
"71073","120876"
"683","688"
"42288","63831"
"147181","328342"
"2421","131515"
"52223","84849"
"68112","88680"
"203331","73815"
"322727","322729"
"376642","387695"
"103543","103544"
"31947","40243"
"71208","71210"
"76795","373858"
"24842","99789"
"191109","238425"
"151022","216424"
"50515","73540"
"117357","323969"
"40417","21372"
"21090","30518"
"338123","327236"
"204100","229408"
"135898","369949"
"331055","331983"
"198416","338163"
"51250","110647"
"25687","350899"
"160513","385763"
"194658","327497"
"24299","62619"
"112261","152369"
"1349","126424"
"11700","14887"
"98977","120931"
"259952","374161"
"2283","142079"
"136316","67033"
"670","193559"
"181124","181126"
"61379","301093"
"7335","264234"
"71480","386575"
"293541","261410"
"128929","335453"
"9999","27612"
"76732","287523"
"21090","56150"
"27707","109690"
"169803","185315"
"27322","123890"
"324726","333076"
"301093","311055"
"101046","402411"
"79536","75333"
"62457","385523"
"10177","17072"
"118835","382012"
"53122","312523"
"151728","390766"
"272559","297667"
"100274","264090"
"90","91601"
"38381","379788"
"218685","252743"
"46315","49177"
"29924","87334"
"36389","90022"
"54668","78477"
"384257","384263"
"389997","206435"
"124725","299682"
"161699","201953"
"52971","66432"
"72869","396350"
"194936","176814"
"131270","208071"
"82774","184800"
"69787","92021"
"101726","98684"
"197966","265125"
"2067","23451"
"107932","139646"
"114880","171641"
"14367","46046"
"321013","335860"
"50574","384990"
"266679","344878"
"17314","115150"
"274645","288521"
"167878","241717"
"10555","120549"
"179910","299790"
"39576","40246"
"216885","228254"
"26175","35145"
"153912","154571"
"101502","103542"
"167017","167837"
"341195","374873"
"75184","373822"
"189488","265024"
"29050","177643"
"144505","203314"
"3391","45738"
"198881","281081"
"75468","121794"
"77231","109748"
"654","111508"
"174988","351442"
"387580","387586"
"174215","218132"
"169666","322668"
"24591","108415"
"83808","112984"
"78908","144492"
"131196","120970"
"42062","5895"
"283377","284592"
"33459","33462"
"8481","312092"
"8210","163588"
"249253","375299"
"1113","341569"
"87334","163053"
"24459","98497"
"56998","284312"
"47357","106193"
"27651","249747"
"61379","245953"
"3458","127410"
"26267","178459"
"193250","229811"
"107157","119774"
"30855","97653"
"169463","365764"
"10449","342351"
"227036","290679"
"283634","364276"
"186271","218899"
"29246","78539"
"178549","285353"
"53122","205671"
"238632","341201"
"89377","373822"
"40254","103158"
"19260","170279"
"140222","192406"
"280989","178459"
"18394","72690"
"64370","396189"
"367090","367096"
"126380","283462"
"10025","327896"
"103542","103543"
"47897","327166"
"84336","165065"
"108807","303693"
"85516","284119"
"51250","332195"
"10760","131622"
"247039","344286"
"61843","92662"
"393438","400255"
"331969","355315"
"71512","198299"
"177879","223695"
"9344","14568"
"192725","225357"
"13578","378938"
"3439","18906"
"1590","100825"
"375097","375101"
"33261","49988"
"84849","300968"
"239209","232615"
"29637","249154"
"52432","321974"
"217520","287711"
"83406","168703"
"216879","126026"
"38486","206283"
"199046","3829"
"276775","276778"
"159624","176779"
"186271","294934"
"67640","118433"
"99624","259165"
"33379","375068"
"2555","123287"
"19260","214048"
"146352","226484"
"63719","100274"
"6261","12812"
"68426","271596"
"36880","39807"
"317172","36017"
"271214","368460"
"373680","386998"
"384395","386163"
"198778","219022"
"160493","34803"
"83121","18053"
"385256","340227"
"267992","370893"
"2194","2195"
"228278","348579"
"106635","106640"
"266166","331170"
"12936","69404"
"85486","118399"
"148901","225089"
"54689","175487"
"2801","217745"
"172128","286948"
"55279","237390"
"192171","362647"
"3163","13091"
"284831","266166"
"281729","93009"
"355913","374873"
"120539","141088"
"13400","325663"
"22933","24969"
"187854","224825"
"185657","244154"
"55973","322924"
"289910","290594"
"212332","349113"
"8182","262478"
"9999","154266"
"58443","181154"
"98998","161542"
"21988","90020"
"224670","37000"
"11638","140022"
"56333","395855"
"54689","195140"
"152209","182952"
"178374","192171"
"166494","280988"
"391528","111550"
"361240","378841"
"44846","76408"
"255398","293015"
"60376","124723"
"149415","328619"
"55701","284295"
"355906","367338"
"12575","36229"
"82657","238138"
"322028","326650"
"88496","127865"
"1042","147554"
"824","50515"
"25549","63534"
"274397","316403"
"20538","73732"
"319985","315776"
"116360","126547"
"118233","31495"
"34577","34580"
"141728","68873"
"64806","305908"
"71701","198415"
"36286","163202"
"102539","262606"
"69318","175487"
"78922","102253"
"264701","135942"
"106397","275670"
"252743","233832"
"3163","178351"
"75470","75480"
