"from_name","to_name","connected","num_common_genre","from_salesrank","from_rating","from_reviews","to_salesrank","to_rating","to_reviews","from_degree","from_closeness","from_betweenness","from_transitivity","from_eigenvec_centrality","from_pagerank","to_degree","to_closeness","to_betweenness","to_transitivity","to_eigenvec_centrality","to_pagerank","same_community"
577,7406,1,4,758,4.5,316,17833,5,360,15,1.31865755386386e-06,0.000478036883251151,0.152380952380952,0.000156500927502918,3.24585477700383e-05,7,1.30816083052515e-06,0.000220309474101669,0.142857142857143,8.31507125069522e-05,1.69422547977561e-05,1
582,826,1,2,38164,3.5,178,269712,4,178,4,1.03135419900392e-06,3.65223429513458e-05,0.166666666666667,2.51111497926409e-07,1.2878354338678e-05,2,9.59894641964098e-07,0,1,1.9530926573405e-08,7.52188953311849e-06,1
633,634,1,1,2745,4.5,54,213692,4,55,5,1.22942102875493e-06,1.92220241356693e-06,0.7,5.56367564891825e-05,1.12526576758741e-05,4,1.22941951728072e-06,1.586950866825e-07,0.833333333333333,5.40835266589481e-05,9.21646117754783e-06,1
658,1733,1,0,680025,4,77,312723,4.5,40,5,1.25795341043749e-06,0.000493648362879089,0,4.78389294449935e-05,1.45555500324881e-05,7,1.15325222894825e-06,8.66183985346324e-05,0.19047619047619,3.5763712187496e-06,2.27030841726487e-05,1
670,1042,1,1,833174,3.5,40,123768,4.5,38,6,1.02465735458063e-06,3.82071230990838e-05,0.133333333333333,5.73854160933845e-08,2.01407067415363e-05,6,1.01413912771865e-06,5.77624005575145e-05,0.133333333333333,8.76690183142925e-08,1.97031277252149e-05,1
683,1280,1,1,531001,3.5,36,143973,4.5,45,7,1.4559156034843e-06,0.000884615977913059,0,0.00397076694089995,2.22712996769718e-05,5,1.31836027622285e-06,0.000199508786110921,0.2,0.000296143487285365,1.4789062694229e-05,1
688,2423,1,3,569310,3,1688,14276,4,408,10,1.35010341792181e-06,0.00082596757031754,0.244444444444444,0.000730620808623918,2.25812272465264e-05,41,1.38275292279399e-06,0.00379615880426831,0.00121951219512195,0.000907996777884619,9.21434683668062e-05,1
688,2563,1,3,569310,3,1688,19172,4.5,54,10,1.35010341792181e-06,0.00082596757031754,0.244444444444444,0.000730620808623918,2.25812272465264e-05,45,1.45194357166503e-06,0.00291981547160817,0.0555555555555556,0.00593664888729262,9.32534467073498e-05,1
886,2606,1,1,178196,4,45,491005,4,118,3,1.16916126709021e-06,6.06670104557401e-05,0.333333333333333,2.78731172490068e-05,8.58404498081898e-06,9,1.12577749007909e-06,0.000148399106191502,0.111111111111111,4.31134541869789e-06,2.41879430410917e-05,0
976,149035,1,2,48515,4,108,1842883,4.5,590,36,1.40089573273151e-06,0.00430774282142652,0.0301587301587302,0.000533863111637472,8.81089622601777e-05,3,1.47034822256955e-06,0.001796573574211,0,0.00387108954554411,9.84467537865993e-06,1
976,184543,1,1,48515,4,108,209295,3.5,72,36,1.40089573273151e-06,0.00430774282142652,0.0301587301587302,0.000533863111637472,8.81089622601777e-05,2,1.27323980962518e-06,2.65900036675649e-05,0,4.18535630712401e-05,5.61108972186979e-06,1
976,240774,1,1,48515,4,108,262328,4.5,54,36,1.40089573273151e-06,0.00430774282142652,0.0301587301587302,0.000533863111637472,8.81089622601777e-05,2,1.27245889957754e-06,0.000328618216198981,0,3.87353350404853e-05,6.41439073235725e-06,0
1073,4739,1,1,416935,4,65,868892,5,4921,7,1.13340519122246e-06,0.00018981016318151,0.285714285714286,1.61658405927193e-06,1.78716219558735e-05,3,1.05660106230671e-06,5.07181198810118e-05,0.333333333333333,1.36518008011592e-07,8.00346570962699e-06,1
1113,5786,1,1,148588,5,41,482329,3.5,698,13,1.14074253212901e-06,0.00116710295927849,0.0512820512820513,6.10241934456959e-06,3.47329978668977e-05,14,1.16184365999342e-06,0.00037119577167649,0.0769230769230769,1.71857293056448e-05,3.65867761925237e-05,0
1165,3362,1,1,110574,4.5,36,276379,4.5,38,5,1.26035539501429e-06,3.65718456547018e-05,0.6,0.000114362840128257,1.38091784218176e-05,5,1.25885605232813e-06,1.44370331081058e-05,0.6,0.000114116111494612,1.42980569591086e-05,1
1275,676,1,1,90645,3,36,359382,4.5,551,4,8.67942542203706e-07,1.93761377514283e-05,0.5,1.02747602495004e-10,1.13453857437071e-05,5,8.71193212359444e-07,3.16545909745715e-05,0.4,1.64598306367149e-10,1.47814385237203e-05,1
1349,3866,1,3,247366,3.5,44,393765,4,38,12,1.13377142261103e-06,0.000265819968057701,0.0606060606060606,9.31861350349734e-06,3.13466492285046e-05,13,1.0783380223065e-06,0.000178238402852056,0.0897435897435897,1.50373092580239e-06,3.57049568897472e-05,1
1349,11056,1,0,247366,3.5,44,170667,4.5,53,12,1.13377142261103e-06,0.000265819968057701,0.0606060606060606,9.31861350349734e-06,3.13466492285046e-05,2,1.04820044946835e-06,0,1,7.33895823558051e-07,6.50149113341722e-06,1
1349,16517,1,1,247366,3.5,44,63580,3.5,33,12,1.13377142261103e-06,0.000265819968057701,0.0606060606060606,9.31861350349734e-06,3.13466492285046e-05,3,1.1321604905425e-06,1.976674365667e-06,0.333333333333333,4.2837592585498e-06,8.1645439653701e-06,1
1452,54256,1,1,172257,4.5,54,13990,4.5,54,10,1.13650311629154e-06,0.000672176629487325,0.177777777777778,1.69697714675861e-06,2.35844915329672e-05,3,1.05038817094857e-06,0.000319030723266475,0,1.27989666102221e-07,9.12812283489762e-06,1
1522,4005,1,1,64536,3,66,2530,4.5,36,2,1.09149214616826e-06,0,1,2.72793039396939e-07,8.39916002437686e-06,4,1.18484114242383e-06,5.77465323844222e-05,0.166666666666667,3.50733324817404e-06,1.52521450797128e-05,1
1733,11697,1,1,312723,4.5,40,330846,4,71,7,1.15325222894825e-06,8.66183985346324e-05,0.19047619047619,3.5763712187496e-06,2.27030841726487e-05,3,1.0646293918624e-06,0,1,3.01622213086165e-07,1.00274752215701e-05,1
2194,24402,1,1,16531,4.5,92,348550,4.5,110,7,1.02800385295844e-06,8.78928474685356e-05,0.0952380952380952,1.28712363087741e-07,2.22031098376403e-05,1,9.56990914328259e-07,0,NA,9.28853579810544e-09,4.28452809343566e-06,1
2315,2341,1,1,344083,4.5,34,14033,4.5,517,3,1.11435139734093e-06,1.90626803274634e-05,0,7.91127894027299e-07,1.00921168628501e-05,2,1.21033431854547e-06,3.30922837746976e-05,0,1.0732943805252e-05,6.61770362515999e-06,1
2419,4152,1,1,7644,4.5,56,98405,4,276,4,9.61828859867306e-07,1.07582613732769e-05,0.166666666666667,1.36339610988464e-08,1.30145083551362e-05,2,1.02821102591812e-06,2.2913858755025e-05,0,1.49398308501371e-07,7.7140834467537e-06,0
2423,5410,1,0,14276,4,408,64606,5,33,41,1.38275292279399e-06,0.00379615880426831,0.00121951219512195,0.000907996777884619,9.21434683668062e-05,4,1.2761043087662e-06,0.000155770179852706,0,0.000115357806791955,1.00225871917161e-05,1
2423,16770,1,2,14276,4,408,8739,3.5,363,41,1.38275292279399e-06,0.00379615880426831,0.00121951219512195,0.000907996777884619,9.21434683668062e-05,7,1.27529873872955e-06,0.00013756537511459,0.0476190476190476,0.000146249667228101,1.87595817180211e-05,1
2423,29543,1,3,14276,4,408,81,4,1069,41,1.38275292279399e-06,0.00379615880426831,0.00121951219512195,0.000907996777884619,9.21434683668062e-05,3,1.25874196293257e-06,9.80890614460184e-05,0,6.71923132165315e-05,8.23861311296111e-06,1
2423,29624,1,3,14276,4,408,38315,4.5,77,41,1.38275292279399e-06,0.00379615880426831,0.00121951219512195,0.000907996777884619,9.21434683668062e-05,13,1.47782741635866e-06,0.00342522213855326,0.115384615384615,0.00242582631492357,2.91157493708443e-05,0
2423,32632,1,1,14276,4,408,134383,4.5,44,41,1.38275292279399e-06,0.00379615880426831,0.00121951219512195,0.000907996777884619,9.21434683668062e-05,5,1.28301024996889e-06,9.08605364914975e-05,0.1,0.000116364731303343,1.24562897878332e-05,1
2423,45865,1,4,14276,4,408,1120971,4.5,47,41,1.38275292279399e-06,0.00379615880426831,0.00121951219512195,0.000907996777884619,9.21434683668062e-05,2,1.25801038110166e-06,6.38424927532455e-05,0,6.59067530570912e-05,6.07449396974129e-06,1
2423,52730,1,3,14276,4,408,200900,4.5,90,41,1.38275292279399e-06,0.00379615880426831,0.00121951219512195,0.000907996777884619,9.21434683668062e-05,5,1.25779518566315e-06,0.000828698336338557,0.1,6.70937105117512e-05,1.37797828766217e-05,0
2423,58740,1,2,14276,4,408,213266,5,99,41,1.38275292279399e-06,0.00379615880426831,0.00121951219512195,0.000907996777884619,9.21434683668062e-05,1,1.25726384184627e-06,0,NA,6.55256417381687e-05,3.4987276019404e-06,1
2461,19340,1,2,216675,4,294,1228,4.5,102,11,1.35616757891539e-06,0.00150789525963992,0.0545454545454545,0.000306879326679501,3.19192084376221e-05,10,1.25310456656366e-06,0.000450576912650296,0.155555555555556,3.29088234482499e-05,2.65214900211049e-05,1
2470,4877,1,1,3876,5,38,364717,3.5,88,7,9.9773414575499e-07,1.79229786051577e-05,0.0952380952380952,5.15761653591627e-08,1.98087163063241e-05,4,1.0741219321735e-06,2.27160895373584e-05,0.5,2.82271213688061e-07,1.09864658884733e-05,1
2470,65453,1,1,3876,5,38,9486,4.5,57,7,9.9773414575499e-07,1.79229786051577e-05,0.0952380952380952,5.15761653591627e-08,1.98087163063241e-05,2,9.30707002267202e-07,1.00669686737135e-09,0,5.23526226679745e-09,6.92948012842814e-06,1
2552,6550,1,1,782,4,1244,10034,4.5,69,3,1.17819768743358e-06,1.00003000070001e-10,0.666666666666667,2.68856656348635e-05,9.94603574947287e-06,2,1.17819629928542e-06,0,1,2.51901709225747e-05,6.89950227665883e-06,1
2555,20538,1,1,101233,3.5,108,21212,3.5,54,42,1.35920904907017e-06,0.00297537827633304,0.0174216027874564,0.00213445198646771,0.000109038557403743,4,1.25870869075416e-06,0.000699947071572157,0,0.000163015743454277,1.09456001730787e-05,0
2555,42477,1,1,101233,3.5,108,261139,4.5,119,42,1.35920904907017e-06,0.00297537827633304,0.0174216027874564,0.00213445198646771,0.000109038557403743,2,1.23816622629221e-06,2.06753679664324e-05,0,0.00015508114385831,6.2301521005016e-06,1
2555,176658,1,2,101233,3.5,108,83166,4,33,42,1.35920904907017e-06,0.00297537827633304,0.0174216027874564,0.00213445198646771,0.000109038557403743,2,1.23904222036366e-06,0,1,0.000169336029833907,6.07772920154583e-06,1
2563,5238,1,2,19172,4.5,54,266553,3.5,153,45,1.45194357166503e-06,0.00291981547160817,0.0555555555555556,0.00593664888729262,9.32534467073498e-05,3,1.38212606924728e-06,0,1,0.00184307406641307,6.95751114046259e-06,1
2563,15457,1,1,19172,4.5,54,103544,4.5,88,45,1.45194357166503e-06,0.00291981547160817,0.0555555555555556,0.00593664888729262,9.32534467073498e-05,5,1.38303595755186e-06,0.000455559833501834,0.3,0.0018643963969887,1.19185850021568e-05,1
2685,2930,1,2,1007371,4.5,992,34796,4.5,104,4,9.24677611150872e-07,1.44066552379893e-05,0.333333333333333,3.45209549490715e-09,1.21991514805471e-05,2,8.66824544310337e-07,2.73341533524671e-10,0,2.69027258935168e-10,6.89613135538256e-06,1
2814,6580,1,1,5200,4.5,69,79253,4.5,284,6,1.05779696856545e-06,2.8399696259936e-05,0.266666666666667,4.49781663011221e-07,1.8060171692539e-05,3,1.02312885080121e-06,1.31321240009789e-05,0.333333333333333,7.03149137333346e-08,9.37758654558216e-06,1
2986,3738,1,1,478693,2.5,37,555120,4.5,106,10,1.13165056893732e-06,9.70876249207882e-05,0.177777777777778,4.23986467672414e-06,2.51839204825819e-05,12,1.23202475876955e-06,0.00113164621853459,0.0606060606060606,4.58020942554609e-05,3.12718148624779e-05,1
2986,16517,1,1,478693,2.5,37,63580,3.5,33,10,1.13165056893732e-06,9.70876249207882e-05,0.177777777777778,4.23986467672414e-06,2.51839204825819e-05,3,1.1321604905425e-06,1.976674365667e-06,0.333333333333333,4.2837592585498e-06,8.1645439653701e-06,1
3087,20917,1,1,1952,4,439,6446,5,35,5,9.16469320273035e-07,3.67573583818444e-06,0.1,2.65219276737421e-09,1.24698720104401e-05,6,9.28808672843864e-07,2.45735241087497e-05,0.4,3.18693376306092e-09,1.44831468304388e-05,1
3210,3541,1,2,146279,4,35,16906,4,120,5,9.68176053133502e-07,2.88736662042114e-05,0.4,2.28654978626682e-08,1.68151601042589e-05,4,9.68176053133502e-07,2.88736662042114e-05,0.5,2.27371122053292e-08,1.4055625417977e-05,1
3247,17346,1,1,66494,4.5,71,1881,4,75,32,1.13764995648489e-06,0.000717104986848373,0.032258064516129,2.08625876027986e-05,8.66844098976302e-05,1,1.05131687952329e-06,0,NA,1.50554988126597e-06,3.89099082248571e-06,1
3247,79634,1,1,66494,4.5,71,547500,3.5,80,32,1.13764995648489e-06,0.000717104986848373,0.032258064516129,2.08625876027986e-05,8.66844098976302e-05,4,1.0753925451638e-06,3.99623794856263e-07,0.5,2.42090019182666e-06,1.14044230879542e-05,1
3247,98562,1,3,66494,4.5,71,276542,3,167,32,1.13764995648489e-06,0.000717104986848373,0.032258064516129,2.08625876027986e-05,8.66844098976302e-05,4,1.05132130061061e-06,3.33343333566672e-10,0.666666666666667,1.8994080842536e-06,1.12319844243729e-05,1
3247,109240,1,1,66494,4.5,71,1045812,3,76,32,1.13764995648489e-06,0.000717104986848373,0.032258064516129,2.08625876027986e-05,8.66844098976302e-05,3,1.05607772732073e-06,1.16929074232324e-05,0,2.09577499972002e-06,8.90907674087354e-06,1
3371,4497,1,2,111640,3.5,43,617305,3.5,60,5,1.02423231227614e-06,0.000119061868685464,0.3,2.53334774187238e-08,1.33602966832784e-05,4,9.65067453389655e-07,1.44370331081058e-05,0.5,3.28383476226073e-09,1.22272157438258e-05,1
3371,33384,1,1,111640,3.5,43,11575,3.5,73,5,1.02423231227614e-06,0.000119061868685464,0.3,2.53334774187238e-08,1.33602966832784e-05,4,9.7971116155535e-07,8.94155131544823e-05,0,5.33159543012248e-09,1.09308341095566e-05,1
3382,4887,1,3,235716,4.5,52,735032,4.5,57,3,1.15005054472144e-06,0.00013117504714559,0,2.86916381387017e-06,9.43892283892915e-06,7,1.18280205807558e-06,0.000429613996709527,0.0476190476190476,9.03730423194687e-06,2.07783827232873e-05,1
3430,25681,1,7,593796,4.5,517,258973,3.5,105,3,1.1779478734507e-06,2.88736662042114e-05,0.333333333333333,1.03572649461113e-05,1.21295139877541e-05,2,1.17794509833486e-06,0,1,1.03066935422086e-05,7.94689496391231e-06,1
3738,4977,1,1,555120,4.5,106,9212,4.5,34,12,1.23202475876955e-06,0.00113164621853459,0.0606060606060606,4.58020942554609e-05,3.12718148624779e-05,4,1.34505684882772e-06,0.00108340227984671,0,0.00053968265840582,1.11782156994597e-05,0
3738,16517,1,1,555120,4.5,106,63580,3.5,33,12,1.23202475876955e-06,0.00113164621853459,0.0606060606060606,4.58020942554609e-05,3.12718148624779e-05,3,1.1321604905425e-06,1.976674365667e-06,0.333333333333333,4.2837592585498e-06,8.1645439653701e-06,1
3738,40420,1,3,555120,4.5,106,57062,4.5,46,12,1.23202475876955e-06,0.00113164621853459,0.0606060606060606,4.58020942554609e-05,3.12718148624779e-05,3,1.13305075047616e-06,1.26220067384854e-05,0.333333333333333,3.64587153111707e-06,8.47119917984482e-06,1
3782,26472,1,1,324638,4.5,66,253426,5,37,6,1.16214611198208e-06,6.82140212100295e-05,0.333333333333333,1.36735238316459e-05,1.58451001572656e-05,5,1.16214341082118e-06,4.32125509004024e-05,0.5,1.34785875382717e-05,1.31986547416842e-05,1
3920,27125,1,1,65410,2.5,34,668814,4.5,37,6,9.12551137084344e-07,6.37256203735271e-05,0.333333333333333,5.9076502726598e-09,1.56925960772359e-05,3,9.74944891240023e-07,0.000123051612515721,0,7.75540128176283e-08,9.04886035089446e-06,1
4014,8210,1,1,2768,5,84,17609,4.5,41,6,1.33432429150716e-06,8.70712361047267e-05,0.2,0.000466553707943089,1.83886019437242e-05,3,1.21765601217656e-06,1.96131844747469e-08,0.666666666666667,4.12739825974783e-05,9.5751948953075e-06,1
4249,95025,1,3,166140,4.5,36,235102,3,52,26,1.23879509833555e-06,0.00106690793604696,0.0307692307692308,1.58984315600505e-05,7.14855158620094e-05,4,1.17313199259988e-06,0.000110536466817372,0.166666666666667,2.76831420755749e-06,1.30044913526528e-05,1
4465,5204,1,1,68908,4,33,394632,3.5,303,4,0.0625,6.20018600434009e-09,0.166666666666667,0,1.43786965146785e-05,2,0.0416666666666667,0,1,0,8.07636381556036e-06,1
4465,5206,1,1,68908,4,33,153086,4,56,4,0.0625,6.20018600434009e-09,0.166666666666667,0,1.43786965146785e-05,2,0.0416666666666667,0,1,0,8.07636381555717e-06,1
4625,6244,1,1,264418,4,104,277805,5,73,5,1.04184139215014e-06,0.00027032015523442,0.1,2.04798867068644e-07,1.69662873341542e-05,5,9.70671170580898e-07,7.61738591126366e-05,0.1,1.72787547204774e-08,1.66768855012891e-05,1
4786,8196,1,0,21123,3,104,38503,4,35,4,1.05393513029273e-06,0.000115352858604978,0.166666666666667,2.1754780207361e-07,1.18810971061996e-05,2,9.79435766643552e-07,8.66161984686308e-05,0,1.57834429568081e-08,7.36720857386293e-06,1
4896,26220,1,2,123652,4.5,60,47993,3.5,33,2,1.02017393965671e-06,9.77830137564825e-05,0,2.97640003079227e-08,7.37145769547431e-06,2,1.09767315245143e-06,0.000111498697220107,0,3.95719262536602e-07,7.24023855622747e-06,1
4930,30388,1,2,17403,5,42,819608,3.5,70,16,1.46232609286941e-06,0.0021732095256208,0.0583333333333333,0.00951378301831637,4.25644044374324e-05,15,1.48558168693743e-06,0.00269020789075595,0.019047619047619,0.0159156370279855,4.10651585667202e-05,1
4930,159032,1,1,17403,5,42,372042,4.5,87,16,1.46232609286941e-06,0.0021732095256208,0.0583333333333333,0.00951378301831637,4.25644044374324e-05,3,1.32419111785566e-06,0.000461544968329665,0,0.00069402026162271,9.45371551151176e-06,0
4930,196903,1,1,17403,5,42,3535,3,44,16,1.46232609286941e-06,0.0021732095256208,0.0583333333333333,0.00951378301831637,4.25644044374324e-05,2,1.32272157901211e-06,2.79217054461163e-05,0,0.000690640805973074,7.43245855489581e-06,1
5204,5206,1,1,394632,3.5,303,153086,4,56,2,0.0416666666666667,0,1,0,8.07636381556036e-06,2,0.0416666666666667,0,1,0,8.07636381555717e-06,1
5341,53117,1,1,375164,4.5,48,382620,4.5,90,11,1.28501340268979e-06,0.000597698426240984,0.0909090909090909,6.18284262665906e-05,2.8980942549161e-05,3,1.27383991399033e-06,0.000275067402693,0,0.000159380423941948,9.28822887421278e-06,0
5341,76795,1,1,375164,4.5,48,345771,4,61,11,1.28501340268979e-06,0.000597698426240984,0.0909090909090909,6.18284262665906e-05,2.8980942549161e-05,2,1.17644982735599e-06,3.5011285452097e-06,0,4.53926004130433e-06,6.64563629116444e-06,1
5376,5378,1,1,11021,4,45,251480,4,91,3,1.03367827177262e-06,1.07824030942252e-05,0.666666666666667,2.09369646574746e-07,9.87808541169681e-06,3,9.64912873192115e-07,8.33670244878898e-06,0.333333333333333,3.4950326755894e-08,1.05141137121827e-05,1
5444,77305,1,2,452209,5,211,3487,3.5,127,11,1.43638536495679e-06,0.00136308086370465,0.0363636363636364,0.0298282788204607,2.9449698971428e-05,2,1.30351584293155e-06,1.73699958365873e-05,0,0.00230096701354488,6.54563704672901e-06,1
5653,7852,1,1,34761,3.5,55,182666,3.5,69,1,1,0,NA,0,1.05895745638439e-05,1,1,0,NA,0,1.05895745638358e-05,1
5716,22008,1,1,368161,4.5,52,491926,4,583,7,0.111111111111111,3.70011100259006e-09,0.238095238095238,0,2.42690669626677e-05,4,0.0833333333333333,1.40004200098002e-09,0.5,0,1.43800602305861e-05,1
5716,64806,1,1,368161,4.5,52,24010,4.5,57,7,0.111111111111111,3.70011100259006e-09,0.238095238095238,0,2.42690669626677e-05,2,0.0666666666666667,0,1,4.58734351497627e-16,7.45456491025927e-06,1
5765,13000,1,2,319674,4.5,50,105557,4.5,81,82,1.63397624852125e-06,0.0521772470742676,0.00421559771153267,0.0463404187835528,0.000225556657864333,4,1.47057958482597e-06,6.2815697633972e-05,0.5,0.00424477730703902,1.06738181312285e-05,1
5765,79536,1,3,319674,4.5,50,136419,4,1155,82,1.63397624852125e-06,0.0521772470742676,0.00421559771153267,0.0463404187835528,0.000225556657864333,2,1.46469499191488e-06,0.000693823763270722,0,0.00336211644202454,6.24901235223005e-06,0
5765,105572,1,2,319674,4.5,50,260937,3.5,246,82,1.63397624852125e-06,0.0521772470742676,0.00421559771153267,0.0463404187835528,0.000225556657864333,2,1.46159299020002e-06,1.44370331081058e-05,0,0.00336166596086477,8.26096946943521e-06,1
5765,113901,1,1,319674,4.5,50,456154,4.5,34,82,1.63397624852125e-06,0.0521772470742676,0.00421559771153267,0.0463404187835528,0.000225556657864333,4,1.46748493626713e-06,7.08063405078468e-05,0.333333333333333,0.00397490096064923,1.07425497361829e-05,0
5765,145476,1,1,319674,4.5,50,196464,4.5,66,82,1.63397624852125e-06,0.0521772470742676,0.00421559771153267,0.0463404187835528,0.000225556657864333,3,1.47096679292465e-06,0.00407447148849353,0,0.00342545533656364,9.228654368668e-06,0
5765,169246,1,2,319674,4.5,50,1088735,4.5,141,82,1.63397624852125e-06,0.0521772470742676,0.00421559771153267,0.0463404187835528,0.000225556657864333,2,1.46159299020002e-06,1.44370331081058e-05,0,0.00336166596086478,8.26096946943521e-06,1
5765,184992,1,0,319674,4.5,50,11095,4.5,54,82,1.63397624852125e-06,0.0521772470742676,0.00421559771153267,0.0463404187835528,0.000225556657864333,4,1.46508554634505e-06,0.000676509444647891,0.5,0.00341316479671638,1.07428195775629e-05,0
5765,190337,1,2,319674,4.5,50,52146,4,403,82,1.63397624852125e-06,0.0521772470742676,0.00421559771153267,0.0463404187835528,0.000225556657864333,3,1.46251215713231e-06,0.000287703963870881,0,0.00337945190133252,1.13129077405992e-05,0
5765,191551,1,2,319674,4.5,50,160847,4,105,82,1.63397624852125e-06,0.0521772470742676,0.00421559771153267,0.0463404187835528,0.000225556657864333,2,1.46184297467503e-06,0.000107838626610829,0,0.00350435336261112,7.21849500877222e-06,0
5765,194658,1,1,319674,4.5,50,993077,4.5,395,82,1.63397624852125e-06,0.0521772470742676,0.00421559771153267,0.0463404187835528,0.000225556657864333,2,1.46295505216898e-06,0.00127506354885135,0,0.00336178667389402,6.93364037946462e-06,0
